locationuid,locationtype,parentlocationuid,community_name,tract_geoid,roadsegid,speed,oneway,abloaddr,abhiaddr,rd30full,geometry
b9a598ef,TRAFFIC_LANE,b9a598ef,Downtown,14000US00000006937,3147,20,T,1,99,17TH ST,"LINESTRING (-117.1486140139929 32.70600531146216, -117.1484900173609 32.70600148623835)"
b9a99193,WALKWAY,b9a99193,Downtown,14000US00000006940,37309,20,F,1000,1099,INDIA ST,"LINESTRING (-117.168539545911 32.71608593371418, -117.1684109864795 32.71607452007462)"
b9ab941a,TRAFFIC_LANE,b9ab941a,Downtown,14000US00000006940,37309,20,F,1000,1099,INDIA ST,"LINESTRING (-117.1683449117983 32.71617385504872, -117.1682281320602 32.71622601564874)"
b9bfc56a,WALKWAY,b9bfc56a,Downtown,14000US00000007137,1830,20,F,1500,1599,07TH AVE,"LINESTRING (-117.158248489208 32.72130896379375, -117.1582985911442 32.7213122680959)"
b9c1c7f1,TRAFFIC_LANE,b9c1c7f1,Downtown,14000US00000007137,1830,20,F,1500,1599,07TH AVE,"LINESTRING (-117.158362372428 32.72126110621618, -117.158465528366 32.72125761291149)"
b9cddceb,WALKWAY,b9cddceb,Downtown,14000US00000006940,2026,20,B,400,499,08TH AVE,"LINESTRING (-117.1573099422834 32.70996931885517, -117.1572118267877 32.70999385636377)"
b9cfdf72,TRAFFIC_LANE,b9cfdf72,Downtown,14000US00000006940,2026,20,B,400,499,08TH AVE,"LINESTRING (-117.157307429911 32.70995006453154, -117.1576505060372 32.70991663117141)"
b9kmzh87cvgjiakmeou,PARKING_ZONE,b9kmzh87cvgjiakmeou,Mid-City:Normal Heights,14000US00000001691,4691,35,B,4550,4599,35TH ST,"POLYGON ((-117.1182520412428 32.76089932017301, -117.1182842277898 32.76068165775747, -117.1183160297458 32.76068498337536, -117.1182838432765 32.7609026457909, -117.1182520412428 32.76089932017301))"
b9owvajg1fdjkmlobh8,PARKING_ZONE,b9owvajg1fdjkmlobh8,Downtown,14000US00000006938,2819,20,B,700,799,13TH ST,"POLYGON ((-117.1529218519208 32.71323009965513, -117.1529178286914 32.71276181799688, -117.1529498575253 32.71276162318609, -117.152953880923 32.71322990484435, -117.1529218519208 32.71323009965513))"
ba1a4d9b,WALKWAY,ba1a4d9b,Downtown,14000US00000006940,1817,20,F,200,299,TONY GWYNN DR,"LINESTRING (-117.1583887551783 32.70768841345767, -117.1584605977425 32.70764264146478)"
ba1c5022,TRAFFIC_LANE,ba1c5022,Downtown,14000US00000006940,1817,20,F,200,299,TONY GWYNN DR,"LINESTRING (-117.1584029272245 32.70771272354821, -117.1582660002417 32.70772251171126)"
ba28651c,WALKWAY,ba28651c,Downtown,14000US00000006940,19345,20,T,600,699,COLUMBIA ST,"LINESTRING (-117.1672785930609 32.71246339079061, -117.1672870703409 32.71243659297127)"
ba2a67a3,TRAFFIC_LANE,ba2a67a3,Downtown,14000US00000006940,30630,20,T,400,499,W G ST,"LINESTRING (-117.1672827424828 32.71247789881949, -117.1671402381904 32.7130164480319)"
ba44941e,WALKWAY,ba44941e,Downtown,14000US00000006939,28386,20,T,800,899,F ST,"LINESTRING (-117.1569775503686 32.71371362949007, -117.157040535646 32.71377859862591)"
ba4696a5,TRAFFIC_LANE,ba4696a5,Downtown,14000US00000006939,28386,20,T,800,899,F ST,"LINESTRING (-117.1569333634145 32.71369863040122, -117.15697173149 32.71352962172795)"
ba4cb074,WALKWAY,ba4cb074,Downtown,14000US00000006938,3151,20,B,700,799,17TH ST,"LINESTRING (-117.1484824974924 32.71321150477154, -117.1484510961344 32.71323234556136)"
ba4eb2fb,TRAFFIC_LANE,ba4eb2fb,Downtown,14000US00000006938,3151,20,B,700,799,17TH ST,"LINESTRING (-117.1485079659615 32.71323033115214, -117.148722257275 32.71325070394413)"
ba52ab9f,WALKWAY,ba52ab9f,Downtown,14000US00000006938,30597,20,F,1500,1599,G ST,"LINESTRING (-117.1501303481375 32.7126952165088, -117.150102311694 32.71275799864878)"
ba54ae26,TRAFFIC_LANE,ba54ae26,Downtown,14000US00000006938,30597,20,F,1500,1599,G ST,"LINESTRING (-117.1500909817876 32.71264666049871, -117.1500675008237 32.71257131387966)"
ba5ac7f5,WALKWAY,ba5ac7f5,Downtown,14000US00000006939,1456,20,F,1200,1299,05TH AVE,"LINESTRING (-117.1600342869038 32.71868009107267, -117.1601033113889 32.71861848766073)"
ba5cca7c,TRAFFIC_LANE,ba5cca7c,Downtown,14000US00000006939,1456,20,F,1200,1299,05TH AVE,"LINESTRING (-117.1601342867264 32.71860560960285, -117.1603268187934 32.7186523198262)"
ba76f6f7,WALKWAY,ba76f6f7,Downtown,14000US00000007137,2494,20,B,1500,1599,10TH AVE,"LINESTRING (-117.1557644724643 32.72123857101742, -117.1558106310346 32.72123557823115)"
ba78f97e,TRAFFIC_LANE,ba78f97e,Downtown,14000US00000007137,2494,20,B,1500,1599,10TH AVE,"LINESTRING (-117.1557147705237 32.72120227262509, -117.1556259139834 32.72120861188201)"
baa13d7a,WALKWAY,baa13d7a,Downtown,14000US00000006938,2820,20,B,1000,1049,13TH ST,"LINESTRING (-117.1527708013065 32.71607894729268, -117.1528112792832 32.71608203648503)"
baa34001,TRAFFIC_LANE,baa34001,Downtown,14000US00000006938,2820,20,B,1000,1049,13TH ST,"LINESTRING (-117.1528160059491 32.71606761463508, -117.1528960795781 32.71606662265008)"
baaf54fb,WALKWAY,baaf54fb,Downtown,14000US00000006938,25431,20,F,900,999,E ST,"LINESTRING (-117.1563043604868 32.7148212709529, -117.1562720633265 32.71476873279652)"
bab15782,TRAFFIC_LANE,bab15782,Downtown,14000US00000006938,25431,20,F,900,999,E ST,"LINESTRING (-117.1562450989159 32.71475862235312, -117.1561647332626 32.71445149557426)"
babd6c7c,WALKWAY,babd6c7c,Downtown,14000US00000006939,1456,20,F,1200,1299,05TH AVE,"LINESTRING (-117.1603344381917 32.71806308782868, -117.1602665478031 32.71808753011393)"
babf6f03,TRAFFIC_LANE,babf6f03,Downtown,14000US00000006939,1456,20,F,1200,1299,05TH AVE,"LINESTRING (-117.1602572535823 32.71810300753197, -117.1601216333124 32.71811444955242)"
banlze4rmakjip0zwpm,PARKING_ZONE,banlze4rmakjip0zwpm,Uptown,14000US00000001090,20918,20,B,3420,3599,CURLEW ST,"POLYGON ((-117.1672739531873 32.74219201390245, -117.167288705406 32.74257666791376, -117.167256681679 32.7425775367973, -117.1672419295984 32.74219288278599, -117.1672739531873 32.74219201390245))"
bb260c2e,WALKWAY,bb260c2e,Downtown,14000US00000007137,23533,20,F,700,799,DATE ST,"LINESTRING (-117.1577529298046 32.7230972841087, -117.1577455642499 32.72305370094485)"
bb3423af,WALKWAY,bb3423af,Downtown,14000US00000007137,232,20,F,1400,1499,01ST AVE,"LINESTRING (-117.1640387916322 32.72037739650762, -117.1639301024332 32.72038038160277)"
bb362636,TRAFFIC_LANE,bb362636,Downtown,14000US00000007137,232,20,F,1400,1499,01ST AVE,"LINESTRING (-117.1639319893473 32.72032194581917, -117.1637985145246 32.72032399599168)"
bb423b30,WALKWAY,bb423b30,Downtown,14000US00000006940,1822,20,F,500,599,07TH AVE,"LINESTRING (-117.1580425630654 32.71051614306182, -117.1580167155548 32.71055865526736)"
